Trade Date,Position,Exit_Date,ret%,duration,dd_overall%,dd_trade%,dd_cumulative%
1973-01-02,1.0,1973-01-24,0.0,17.0,0.0,0.0,0.0
1973-01-26,-1.0,1973-02-06,0.0,8.0,0.0,-0.0833333333333485,0.0
1973-02-07,0.0,1973-02-07,0.0,1.0,0.0,0.0,0.0
1973-02-08,-1.0,1973-03-02,3.0681647999999617,16.0,-2.5958352000000247,-2.41746409294619,-2.5958352000000247
1973-03-05,1.0,1973-03-28,-3.1923353892879036,18.0,-5.109845679568244,-5.3667882166558,-5.558015580097552
1973-03-29,-1.0,1973-04-05,6.110387591274957,6.0,0.8183782106516296,0.0,-3.3766585120651755
1973-04-06,1.0,1973-04-10,0.26810513133483926,3.0,-1.0409895031890402,0.0,-1.0409895031890402
1973-04-11,-1.0,1973-04-26,5.090023729806981,11.0,-0.4248660499627197,-0.4257449340921354,-0.4248660499627197
1973-04-27,1.0,1973-05-04,3.2598970765774338,6.0,-0.2064238548156282,-0.57187631336631,-0.48798294183405094
1973-05-07,-1.0,1973-05-16,3.4078532330725997,8.0,-0.5591999888735287,-0.16604274436384991,-0.5591999888735287
1973-05-17,1.0,1973-05-21,-3.3638539701993486,3.0,-4.0611553152638935,-4.071888964549227,-4.0611553152638935
1973-05-22,-1.0,1973-06-12,-2.303472471593049,15.0,-2.5582858294281827,-3.7964883631643307,-6.619441144692076
1973-06-13,1.0,1973-06-18,-2.913652235841191,4.0,-2.73093476761148,-3.322217903827903,-9.00201495975266
1973-06-19,-1.0,1973-07-11,-1.519754139532692,16.0,-1.3829456445404953,-3.1787007993357355,-10.384960604293155
1973-07-12,1.0,1973-08-15,-0.3406503586843801,25.0,-0.5719617637018476,-5.41692784339333,-10.956922367995004
1973-08-16,-1.0,1973-09-10,-2.819366527890965,17.0,-3.1596871771983572,-5.317762274777107,-13.849921734628131
1973-09-11,1.0,1973-11-05,1.6527927180770563,40.0,0.017292787696515655,-6.015920096910047,-13.190911402758992
1973-11-06,-1.0,1973-11-16,3.6231775625662266,9.0,-1.4983606283584818,-0.9302087285591234,-13.272076337785526
1973-11-19,1.0,1973-11-30,-3.3706542332374356,9.0,-3.4849144623016666,-5.765525365810062,-12.0620352350268
1973-12-03,-1.0,1973-12-03,-1.6362710444368544,1.0,-1.4455036043441158,0.0,-13.10417352589096
1973-12-04,1.0,1973-12-10,2.482780208560209,5.0,-1.3353445372327244,-1.9406948478798178,-14.439518063123685
1973-12-11,-1.0,1973-12-17,1.7429454533302025,5.0,-1.2622400746005888,-0.5205184124739404,-12.208981218727555
1973-12-18,1.0,1973-12-19,-1.8392192545354291,2.0,-1.6664321202933,-0.36259719833902326,-11.061023538149456
1973-12-20,-1.0,1973-12-27,-1.0626332059956445,5.0,-0.9450950969562568,-2.757445629237033,-12.006118635105713
1973-12-28,1.0,1973-12-28,-0.5082885160660244,1.0,-0.4472627938185328,0.0,-12.453381428924246
1973-12-31,-1.0,1974-01-03,-1.5649908184349193,3.0,-1.3700965424875755,-2.0941340040275063,-13.82347797141182
1974-01-04,1.0,1974-01-10,-2.676286378177306,5.0,-2.3063305202380784,-3.115965906284031,-16.1298084916499
1974-01-11,-1.0,1974-01-11,0.8450422155235948,1.0,0.7087385244860384,0.0,-15.421069967163861
